attack_chain,uuid,process_name,timestamp,label
trace_3.2_fail, D241A047-3AF2-777E-C4DB-B19AE7F834C4, firefox, 2018-04-10 08:50:04, contaminated
trace_3.2_fail, D9CBEE33-DE11-0039-FCF5-3EA21B3B1461, firefox, 2018-04-10 09:41:19, contaminated
trace_3.2_fail, 5ACEC474-013F-0EB4-CC87-0FB433106239, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 34043886-1C50-13B6-765A-315CEDDA1D19, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, B28F4ACB-10CA-6777-16BF-9C01438E11DF, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 105B51B9-3382-DA9C-CA8C-46760E196352, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 3C9F6062-FAF2-B7EC-1DC3-7963A120638B, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 329446CA-98EA-04FB-18CC-675AF1073995, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 34D9D813-7A18-1B03-5A79-1A09529A5F2F, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 92435D07-2D26-C4A8-CFA5-BAD0FD1BB331, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, F836629E-CDC0-7C4C-3A53-00D2CC3E8C3A, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, AB4E1830-C70A-7AA2-9EBF-C55C06E046B2, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 4283190C-E518-2CF6-18FF-C37C04FE4194, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, C16C53C1-7D4B-1B3A-58F2-EEC8505DE6D0, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, D288E3D2-9B7B-EFE6-A0F2-4D2834DF2A06, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, E88EF6BA-9E7D-77B6-4C9C-192B14A8B197, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, E955B269-3BBC-D4E7-BAAE-0076CCED644D, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 919CA5A0-D517-4C06-02E6-DDA4359B95EF, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 7DF613D0-C4E3-414A-6B81-CCF0C16EC966, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 83C4618A-4F72-AB61-E84D-51907DC3B362, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 1C5EBDF9-558B-1843-1332-5FB8E4E65EAC, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, EC60E3A4-C814-9A42-1536-E5906EF3873C, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, C7B82471-CCBD-D34E-088C-FBE3E80FFF18, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 330BD307-B040-7970-A7E8-EF66103CA663, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, ADF0456A-F969-5B37-70C5-E6D4C61F6AB4, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 060F9893-EB92-FBFC-C5A7-D1B6FBEC0368, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 9F3B3EA9-C1DA-A915-5354-765E189FB683, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 06BD5DEA-AB2B-1BD6-7BDD-A15B9C0F0C3B, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 2838211D-0CC6-E45A-49B3-6771D9E7B93B, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 3A98D25C-9B02-D14E-993A-C634F129B179, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 1BD0D9B2-7D4A-A295-3BB3-D3B2748BA763, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, DBFBFFCA-33BC-FBE4-7782-ECDBCA1C0590, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 366E63C7-621C-0225-0E7C-810A3E019AD0, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, AA31DD0F-FD90-9901-5280-661AC5413C5F, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 02329B32-4FFF-CF95-4042-AD205EBC8BC8, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, DF597F0D-F955-7526-1C85-C31ADBC5484F, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 49E24F2C-5978-2217-CAEB-73BF9C4CD8A9, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, F73C00FE-61AD-8CDC-572A-47C02680957D, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 4102BD67-1607-1F5D-5AEE-22721F85BDDE, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, EB17A87C-0C89-64C9-7044-42A9C6829965, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 57DCBEDB-098B-F7DA-B84D-E350FB31EC5F, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 23AF687D-FA7E-2D85-A6DB-CACCFE0E4306, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, A9EB6D0B-1CE2-A7CD-DF05-861BEC33F6F4, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, E68B80A8-4328-8331-292C-6D8E264AF759, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, F8145CF8-7405-D37A-385B-B2DB7ABC2EF3, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 2202C066-BC6E-EA02-4B63-28ACF9244911, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 32484054-7A14-4F31-5C99-41009EBF370B, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, B91C3919-FA62-B4C5-9915-3BF6AEA647E7, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 387DFCBB-F037-6865-B1C8-788F67CF6EE8, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 9DD4A161-D7EB-43C6-71DC-F3C0D847A688, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 14D4D9D3-F520-541E-811B-BB8B1F18C0C4, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, E54EFF24-1DCD-896A-4128-3AB4BFD56BE1, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 4A06AD00-BFAA-9B75-723C-A84D9661632F, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, EA69F313-7984-C0C1-8ADA-AAAB25F0E0C2, firefox, 2018-04-10 09:41:23, contaminated
trace_3.2_fail, 7E63A089-36B1-6750-0FF6-CE59B4E73212, firefox, 2018-04-10 09:41:23, contaminated
